ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
0,0,4,8,2,.333,6,.444,18,0,,0,36:18,0,3,+14,18,1,1,4
2,2,7,9,3,.600,5,.750,12,3,1.000,3,35:33,0,1,+25,24,1,3,7
6,1,5,6,4,.500,8,.429,14,2,1.000,2,31:56,2,2,+26,18,1,1,7
3,0,2,6,0,.000,3,.600,10,1,1.000,1,24:43,0,2,+17,13,1,0,2
2,1,5,1,0,,0,.167,6,1,1.000,1,12:58,1,1,+2,3,0,0,6
1,0,5,5,1,.333,3,.417,12,1,1.000,1,32:08,2,3,+13,12,1,2,7
0,0,5,3,0,,0,.429,7,2,1.000,2,22:45,3,3,+17,8,0,2,8
7,0,1,3,1,1.000,1,.600,5,0,,0,20:04,0,2,+5,7,1,1,1
0,0,0,1,0,,0,1.000,1,0,,0,10:00,0,0,-10,2,0,1,0
0,0,0,2,1,.500,2,.500,4,0,.000,1,9:17,0,2,+8,5,1,0,0
0,0,0,1,0,,0,.500,2,0,,0,2:09,1,0,-1,2,0,0,1
0,0,1,0,0,,0,.000,1,0,,0,2:09,0,0,-1,0,0,0,1
,,,,,,,,,,,,,,,,,,,
