ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
3,3,3,8,2,.400,5,.615,13,2,1.000,2,38:10,1,3,+3,20,1,3,4
8,1,8,9,0,.000,1,.750,12,1,.500,2,35:57,0,2,+12,19,0,0,8
4,0,5,9,3,.500,6,.450,20,0,,0,35:23,1,0,+12,21,0,0,6
2,1,9,8,0,,0,.615,13,4,.571,7,35:03,8,4,+5,20,2,2,17
4,1,3,10,2,.500,4,.588,17,3,.750,4,35:02,2,2,+15,25,1,1,5
2,0,7,4,2,.667,3,.800,5,2,1.000,2,22:45,0,2,-1,12,0,0,7
1,1,1,0,0,.000,1,.000,3,0,,0,12:58,0,2,-8,0,0,1,1
2,1,2,0,0,,0,.000,1,4,1.000,4,12:38,1,4,+1,4,0,3,3
2,0,1,0,0,,0,.000,3,0,,0,12:04,0,0,-4,0,0,1,1
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
