ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
1,0,7,6,3,.500,6,.500,12,0,,0,34:54,0,2,+25,15,0,1,7
7,0,1,3,2,.333,6,.250,12,2,1.000,2,31:25,0,0,+24,10,2,2,1
4,0,1,5,2,.667,3,.333,15,4,1.000,4,28:57,0,4,+13,16,0,0,1
0,1,14,10,0,,0,.769,13,2,.500,4,28:03,8,4,+9,22,0,1,22
1,0,0,5,3,1.000,3,.625,8,2,.667,3,24:59,0,3,+5,15,1,0,0
1,0,4,5,0,.000,4,.500,10,7,.875,8,28:03,1,1,+30,17,1,0,5
1,0,0,2,1,.500,2,.667,3,0,,0,16:35,0,3,+3,5,0,1,0
1,0,1,1,0,,0,.500,2,0,,0,15:55,1,3,+21,2,0,0,2
6,0,1,3,2,1.000,2,.600,5,0,,0,15:01,0,2,+17,8,2,0,1
0,0,0,1,1,.333,3,.333,3,0,,0,4:02,0,0,-3,3,0,2,0
1,0,0,0,0,,0,,0,2,1.000,2,4:02,0,0,-3,2,0,0,0
0,0,2,1,0,,0,1.000,1,0,,0,4:02,1,0,-3,2,0,0,3
0,0,0,0,0,,0,,0,0,,0,4:02,0,1,-3,0,0,0,0
