ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
1,1,4,3,2,.250,8,.273,11,4,1.000,4,38:42,0,1,-3,12,3,5,4
2,1,4,5,2,.333,6,.357,14,2,1.000,2,38:06,1,1,-3,14,0,1,5
1,0,3,9,2,.500,4,.563,16,2,1.000,2,36:33,3,4,-5,22,2,0,6
1,1,9,5,0,,0,.417,12,5,.714,7,34:45,6,4,-5,15,1,6,15
8,0,2,7,2,.286,7,.412,17,4,1.000,4,32:01,2,5,+1,20,1,4,4
3,0,3,3,1,.250,4,.429,7,0,,0,25:23,1,3,-13,7,1,1,4
5,4,2,2,0,.000,2,.500,4,0,,0,21:21,0,2,-6,4,1,1,2
1,0,2,1,0,,0,.333,3,2,1.000,2,13:09,1,4,-1,4,0,0,3
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
