ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
5,0,6,9,4,.571,7,.600,15,1,.500,2,39:36,0,1,+14,23,2,2,6
0,2,12,12,0,,0,.632,19,1,.167,6,36:06,6,4,0,25,2,3,18
4,0,2,10,2,.400,5,.588,17,5,1.000,5,32:39,0,1,+1,27,1,3,2
1,0,1,4,2,.667,3,.444,9,1,.500,2,31:20,0,3,-5,11,0,1,1
3,0,1,1,0,,0,.250,4,0,,0,27:56,2,1,+1,2,0,1,3
0,2,6,5,1,.250,4,.385,13,6,.857,7,34:52,1,2,+13,17,2,1,7
2,1,4,0,0,.000,2,.000,7,0,,0,15:21,0,3,+8,0,0,0,4
1,0,3,0,0,.000,1,.000,1,0,,0,12:46,0,1,+4,0,0,0,3
0,0,3,1,0,,0,1.000,1,0,,0,9:24,1,2,+9,2,0,1,4
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
