ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
2,0,4,6,6,.750,8,.500,12,3,1.000,3,39:43,1,2,0,21,1,2,5
2,2,3,7,2,.333,6,.438,16,2,1.000,2,39:33,0,2,-9,18,1,1,3
1,7,9,4,0,,0,.800,5,1,.167,6,35:06,3,5,-14,9,3,2,12
1,0,2,4,1,.250,4,.364,11,0,,0,31:01,1,5,-10,9,2,2,3
3,0,2,8,3,.600,5,.533,15,0,.000,1,30:39,0,3,-10,19,0,4,2
3,0,1,1,0,.000,1,.167,6,0,,0,22:35,0,3,+5,2,3,0,1
0,0,1,2,0,.000,1,.400,5,2,1.000,2,17:21,0,0,+4,6,2,1,1
0,0,3,3,0,,0,.429,7,2,1.000,2,10:03,1,0,+5,8,0,0,4
2,0,1,1,0,.000,2,.333,3,0,,0,7:09,1,1,-2,2,0,0,2
0,0,1,0,0,,0,.000,2,0,,0,6:26,1,3,+1,0,0,0,2
0,0,0,0,0,,0,,0,0,,0,0:24,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
