ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
3,0,4,9,1,.167,6,.529,17,2,1.000,2,34:23,1,1,-10,21,1,2,5
0,0,4,8,1,.250,4,.533,15,1,.500,2,33:36,0,2,-19,18,3,1,4
0,2,8,5,0,,0,.833,6,2,.500,4,27:16,2,4,-14,12,2,6,10
3,0,2,5,1,.167,6,.455,11,3,1.000,3,24:34,0,3,-15,14,1,3,2
0,0,0,0,0,,0,,0,0,,0,3:46,0,0,+1,0,1,1,0
3,1,2,3,2,.667,3,.600,5,0,,0,37:32,0,2,-32,8,0,0,2
3,0,1,2,0,.000,4,.167,12,2,.500,4,26:25,0,3,-3,6,0,1,1
2,0,5,5,0,,0,.714,7,3,1.000,3,16:04,6,1,-5,13,0,0,11
2,1,1,2,0,.000,2,.286,7,0,,0,15:41,0,1,-7,4,0,3,1
4,0,0,1,0,.000,2,.200,5,2,1.000,2,11:23,0,0,+6,4,1,1,0
0,0,2,2,0,,0,1.000,2,0,,0,4:40,0,2,-1,4,1,0,2
0,0,2,1,1,1.000,1,1.000,1,0,,0,4:40,0,0,-1,3,0,1,2
,,,,,,,,,,,,,,,,,,,
