ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
1,0,2,4,1,.333,3,.333,12,4,.800,5,34:01,0,2,-12,13,0,0,2
1,0,17,4,0,,0,.571,7,1,.250,4,33:29,2,3,-14,9,1,1,19
1,0,5,3,1,.250,4,.200,15,4,1.000,4,30:20,0,4,-22,11,0,2,5
2,0,1,3,1,1.000,1,.273,11,0,.000,1,27:10,0,2,-14,7,1,3,1
0,4,0,1,0,,0,.333,3,0,,0,18:07,0,1,-18,2,0,0,0
3,0,2,3,0,.000,1,.500,6,1,1.000,1,26:15,0,0,-26,7,2,1,2
0,0,0,4,2,.667,3,.800,5,0,,0,25:49,0,1,-11,10,1,2,0
7,0,1,4,1,.333,3,.500,8,0,,0,20:50,0,1,-19,9,0,3,1
0,0,3,3,0,,0,.600,5,0,,0,14:31,1,1,-19,6,0,0,4
0,0,0,1,0,.000,2,.250,4,1,1.000,1,4:44,0,1,-5,3,0,1,0
0,0,1,0,0,,0,,0,0,,0,4:44,0,0,-5,0,0,0,1
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
