ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
1,1,3,11,0,.000,3,.478,23,0,,0,38:37,4,4,-16,22,3,1,7
1,0,1,2,1,.167,6,.182,11,0,,0,33:26,2,1,-17,5,2,0,3
4,0,2,4,0,.000,3,.250,16,0,,0,29:03,0,3,-15,8,1,1,2
0,1,7,6,0,,0,.462,13,1,.100,10,28:52,10,4,-12,13,1,1,17
1,0,1,5,1,.333,3,.417,12,0,.000,2,25:25,4,3,-21,11,1,1,5
2,0,6,6,1,.500,2,.600,10,2,.400,5,27:18,0,1,-15,15,1,0,6
1,0,1,1,0,.000,3,.143,7,0,,0,22:25,2,0,-4,2,0,1,3
3,0,1,4,0,.000,3,.500,8,0,,0,18:57,0,0,-8,8,2,1,1
0,1,5,1,0,,0,.333,3,0,,0,13:19,1,1,-1,2,0,0,6
0,0,0,0,0,,0,,0,0,,0,2:39,0,0,-6,0,0,1,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
