ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
2,3,2,8,2,.333,6,.533,15,4,1.000,4,33:54,1,1,+36,22,2,0,3
2,3,9,7,0,,0,.538,13,0,,0,31:47,5,1,+29,14,4,1,14
1,0,2,9,3,.600,5,.818,11,5,.833,6,31:15,1,1,+35,26,1,1,3
2,1,3,9,3,.750,4,.643,14,0,,0,25:24,1,2,+8,21,0,3,4
1,0,2,3,0,.000,1,.429,7,0,,0,19:14,0,2,+2,6,1,1,2
1,1,9,8,2,.500,4,.500,16,2,1.000,2,32:03,0,2,+19,20,2,1,9
13,1,4,5,0,.000,1,.625,8,1,1.000,1,22:36,0,0,+22,11,0,0,4
1,0,2,1,0,.000,2,.167,6,0,,0,17:58,0,0,-9,2,1,0,2
3,0,0,0,0,,0,,0,2,1.000,2,10:40,1,0,-1,2,0,0,1
0,1,1,2,0,,0,1.000,2,3,.750,4,9:07,1,0,+3,7,0,0,2
0,0,0,0,0,,0,,0,0,,0,3:09,0,0,+3,0,0,0,0
0,0,0,2,0,,0,.667,3,1,.500,2,2:53,0,0,+3,5,0,0,0
,,,,,,,,,,,,,,,,,,,
