ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
2,1,1,4,1,.200,5,.308,13,1,.333,3,28:47,0,1,-20,10,0,0,1
0,1,1,1,0,.000,1,.250,4,0,.000,1,26:50,0,1,-11,2,0,0,1
1,0,3,7,1,.333,3,.538,13,0,,0,26:38,1,1,-5,15,0,3,4
1,0,9,6,0,,0,.545,11,2,.400,5,26:22,6,4,-14,14,2,1,15
5,0,2,1,0,.000,4,.125,8,4,1.000,4,22:58,0,4,-11,6,1,2,2
2,1,3,7,3,.500,6,.583,12,0,,0,28:23,2,2,-3,17,1,1,5
1,0,4,9,2,.400,5,.529,17,2,.500,4,26:41,1,2,-17,22,0,1,5
6,1,4,1,0,.000,1,.167,6,0,,0,25:02,0,1,-6,2,0,2,4
1,0,5,1,0,,0,.500,2,4,.800,5,11:21,0,2,0,6,0,0,5
0,0,2,2,0,,0,1.000,2,0,,0,10:17,1,0,-3,4,0,0,3
1,0,0,0,0,.000,1,.000,1,0,,0,6:41,0,0,+5,0,0,0,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
