ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
2,1,4,5,1,.200,5,.357,14,2,.500,4,37:47,0,3,-13,13,0,1,4
1,3,3,10,0,.000,3,.667,15,4,.800,5,36:23,2,1,0,24,2,0,5
3,0,4,7,3,.375,8,.412,17,2,1.000,2,35:29,0,1,-1,19,0,1,4
2,2,13,6,0,,0,.500,12,1,.333,3,30:33,4,3,-6,13,1,2,17
2,0,1,3,1,.500,2,.333,9,0,,0,20:10,1,2,-12,7,0,1,2
4,1,6,8,0,.000,2,.533,15,0,,0,27:50,1,1,+10,16,3,0,7
1,1,4,0,0,.000,2,.000,7,2,1.000,2,21:50,1,3,+9,2,1,0,5
2,0,6,0,0,,0,,0,0,,0,17:27,0,3,+4,0,0,1,6
0,0,0,1,0,.000,1,.333,3,0,,0,12:31,1,0,-1,2,1,0,1
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
