ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
5,0,6,6,2,.667,3,.429,14,1,.500,2,35:02,0,1,-10,15,1,1,6
1,0,2,5,0,.000,2,.333,15,2,1.000,2,34:15,2,3,-7,12,1,0,4
2,0,1,6,4,.800,5,.462,13,4,.800,5,33:06,0,6,-10,20,0,3,1
1,0,1,3,2,.286,7,.250,12,4,1.000,4,32:07,1,0,-10,12,1,3,2
3,0,10,5,0,,0,.714,7,0,.000,4,24:52,5,1,-12,10,0,1,15
2,1,2,4,0,.000,2,.500,8,0,,0,24:41,1,3,-11,8,0,2,3
1,1,5,2,0,,0,.500,4,3,.750,4,22:07,3,2,-2,7,0,1,8
0,1,0,2,1,.250,4,.286,7,0,,0,17:49,0,0,-4,5,0,1,0
3,0,3,3,0,,0,.750,4,0,,0,12:58,0,0,-4,6,1,5,3
0,0,0,0,0,,0,,0,0,,0,1:01,0,0,0,0,0,0,0
0,0,0,0,0,,0,,0,0,,0,1:01,0,0,0,0,0,0,0
0,0,0,0,0,,0,,0,0,,0,1:01,0,0,0,0,0,1,0
,,,,,,,,,,,,,,,,,,,
