ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
8,0,3,0,0,.000,1,.000,7,0,,0,28:00,1,1,-12,0,2,2,4
5,0,2,1,0,.000,1,.167,6,0,,0,27:36,0,0,-15,2,0,3,2
3,0,4,5,0,.000,2,.625,8,0,,0,26:31,1,0,-10,10,2,1,5
3,0,1,8,4,.800,5,.667,12,0,,0,23:37,0,4,-6,20,1,3,1
2,3,3,8,0,,0,.667,12,4,.800,5,21:42,1,2,-12,20,0,1,4
3,0,2,4,2,.667,3,.571,7,1,1.000,1,20:00,0,0,-5,11,0,0,2
2,2,1,4,1,.500,2,.364,11,0,,0,19:58,0,2,-13,9,1,0,1
0,0,1,4,0,.000,2,.571,7,3,1.000,3,18:06,2,0,-7,11,0,1,3
1,0,1,2,0,.000,2,.400,5,0,,0,15:50,1,0,+8,4,0,2,2
2,0,2,3,0,,0,.600,5,0,,0,14:31,1,2,-10,6,0,0,3
2,1,3,4,0,,0,.667,6,0,,0,11:47,1,2,+5,8,2,0,4
1,0,1,0,0,,0,.000,1,0,,0,6:43,0,1,+7,0,0,0,1
2,1,1,0,0,,0,.000,1,0,,0,5:39,0,2,-15,0,0,0,1
