ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
1,3,4,9,4,.500,8,.450,20,1,.333,3,37:19,1,3,-17,23,1,6,5
10,0,3,2,0,.000,2,.500,4,2,1.000,2,33:39,0,1,-8,6,3,1,3
6,0,3,4,1,.333,3,.364,11,7,.875,8,29:54,1,1,-20,16,3,4,4
0,0,3,4,0,.000,1,.500,8,1,.500,2,27:46,1,1,-2,9,1,2,4
1,0,1,6,1,.500,2,.667,9,2,1.000,2,23:59,1,5,-5,15,2,2,2
2,0,2,6,2,.500,4,.600,10,5,.833,6,23:35,1,2,-3,19,3,0,3
0,1,4,1,0,.000,1,.125,8,3,.750,4,19:03,3,2,-5,5,0,0,7
2,0,2,1,0,,0,.333,3,0,,0,15:11,1,0,-10,2,0,0,3
5,0,0,3,2,1.000,2,.750,4,0,,0,14:02,0,5,+2,8,1,4,0
1,0,0,0,0,,0,,0,0,,0,7:13,0,1,-6,0,0,1,0
0,0,0,2,0,,0,.667,3,0,,0,4:58,1,2,-8,4,0,1,1
1,0,0,0,0,,0,.000,1,0,,0,1:41,0,0,-4,0,0,0,0
0,0,0,0,0,,0,,0,0,,0,1:41,0,0,-4,0,0,0,0
