ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
6,0,5,4,1,.167,6,.333,12,1,1.000,1,32:57,2,2,-15,10,2,5,7
0,2,5,5,0,.000,2,.625,8,2,1.000,2,20:48,0,2,-20,12,0,1,5
6,1,0,3,1,.333,3,.375,8,2,1.000,2,19:25,1,1,-23,9,0,4,1
0,0,0,3,1,.500,2,.750,4,0,,0,17:26,0,5,-26,7,0,2,0
1,0,5,0,0,,0,.000,4,0,,0,16:19,0,3,-27,0,0,0,5
0,0,3,8,5,.455,11,.533,15,2,1.000,2,25:18,1,1,-4,23,1,2,4
0,0,5,2,0,,0,1.000,2,0,,0,22:13,2,3,+4,4,0,1,7
7,1,2,1,0,.000,3,.143,7,2,1.000,2,20:47,0,5,+1,4,1,2,2
1,0,6,6,0,,0,.500,12,0,.000,1,19:24,4,2,-4,12,1,0,10
2,0,2,4,0,.000,2,.400,10,1,.500,2,15:36,0,0,+2,9,1,0,2
0,0,1,3,1,.250,4,.429,7,1,.333,3,12:31,1,0,-1,8,2,0,2
0,0,3,0,0,,0,.000,2,0,,0,9:28,1,1,+1,0,0,1,4
0,0,3,1,0,,0,.333,3,0,,0,7:48,0,0,+2,2,0,0,3
