ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
4,0,5,9,1,.250,4,.450,20,7,1.000,7,40:29,3,5,-17,26,2,1,8
4,0,1,5,1,.250,4,.500,10,2,1.000,2,34:39,0,2,-13,13,3,4,1
1,0,9,4,1,.500,2,.667,6,2,1.000,2,33:45,1,0,-21,11,1,3,10
1,0,4,4,1,.333,3,.444,9,4,1.000,4,30:05,0,1,+9,13,1,0,4
2,2,5,2,1,.500,2,.333,6,0,,0,20:54,0,6,-3,5,1,1,5
5,0,6,8,0,.000,2,.421,19,3,1.000,3,36:18,0,2,+2,19,4,2,6
2,0,3,4,0,,0,.444,9,2,.667,3,22:28,0,4,-3,10,0,1,3
3,1,2,0,0,,0,.000,3,2,1.000,2,20:26,0,2,+14,2,1,1,2
0,0,0,1,0,.000,2,.333,3,0,,0,18:21,0,2,+9,2,1,0,0
1,0,1,2,0,,0,.667,3,0,,0,7:35,0,4,+3,4,0,0,1
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
