ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
2,0,9,6,2,.400,5,.429,14,2,1.000,2,44:52,2,4,+8,16,0,2,11
7,0,4,5,1,.500,2,.500,10,1,1.000,1,41:42,0,2,+19,12,2,8,4
9,0,5,9,3,.750,4,.563,16,9,1.000,9,40:20,0,2,+16,30,6,3,5
0,2,7,2,0,.000,1,.250,8,11,.917,12,38:23,3,4,+19,15,1,1,10
1,0,7,9,2,.400,5,.500,18,0,.000,3,38:13,3,0,+21,20,2,1,10
1,0,1,3,1,.500,2,.333,9,1,.250,4,17:15,1,0,-16,8,1,1,2
1,0,1,1,0,,0,.500,2,0,,0,14:47,2,2,-17,2,1,1,3
1,0,2,1,0,,0,.200,5,0,,0,14:29,3,4,-12,2,0,2,5
1,0,0,4,2,.667,3,.667,6,0,,0,12:40,1,1,-12,10,0,2,1
0,0,0,0,0,,0,.000,1,0,,0,2:19,0,1,-6,0,0,1,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
