ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
3,0,9,4,0,.000,2,.333,12,13,1.000,13,31:20,1,2,-33,21,1,2,10
2,0,1,3,0,,0,.600,5,3,1.000,3,28:21,0,3,-26,9,2,3,1
6,0,2,4,0,,0,.400,10,8,.800,10,25:41,1,4,-27,16,1,4,3
0,2,4,3,0,.000,1,.375,8,0,,0,23:38,1,3,-28,6,0,0,5
0,0,1,5,0,.000,2,.500,10,0,,0,22:33,1,1,-23,10,0,2,2
1,0,2,1,1,1.000,1,.333,3,4,1.000,4,20:27,1,1,-10,7,1,0,3
1,1,3,3,2,.400,5,.500,6,1,1.000,1,17:35,0,2,-7,9,0,0,3
2,1,0,2,0,.000,1,.286,7,2,1.000,2,16:40,0,1,-3,6,0,1,0
2,1,4,2,0,,0,.400,5,0,,0,14:48,2,1,-3,4,0,2,6
1,0,1,0,0,.000,1,.000,1,0,,0,12:00,0,1,-3,0,1,0,1
0,0,2,5,0,.000,2,.500,10,2,1.000,2,9:31,0,0,-6,12,3,0,2
2,0,1,1,0,,0,.500,2,0,,0,9:31,0,1,-6,2,1,0,1
0,0,1,2,0,,0,.333,6,0,,0,7:55,2,1,-5,4,0,0,3
