ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
1,0,11,8,1,.200,5,.444,18,8,.800,10,37:50,2,3,+11,25,3,3,13
11,0,4,6,1,.250,4,.400,15,6,.750,8,36:24,1,1,+10,19,2,3,5
0,1,6,2,1,1.000,1,.667,3,4,1.000,4,30:21,3,2,+9,9,0,4,9
0,2,2,7,3,.750,4,.636,11,3,.750,4,28:21,2,3,+7,20,1,3,4
1,0,4,1,1,.500,2,.250,4,2,1.000,2,22:27,0,1,-1,5,0,2,4
1,0,3,5,0,.000,2,.556,9,2,.667,3,25:33,0,1,+16,12,1,0,3
0,0,3,5,0,,0,.714,7,5,.625,8,19:24,3,3,+10,15,2,0,6
0,0,3,1,0,.000,5,.143,7,0,,0,15:51,0,1,+9,2,0,1,3
0,0,1,0,0,,0,.000,2,2,1.000,2,12:13,1,1,-1,2,1,0,2
2,0,0,0,0,,0,.000,2,0,,0,11:36,0,0,+5,0,1,2,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
