ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
2,0,6,10,2,.333,6,.476,21,5,.833,6,40:02,2,4,0,27,1,4,8
10,0,3,8,0,.000,2,.421,19,7,1.000,7,39:12,1,0,+6,23,3,2,4
2,0,8,5,2,.667,3,.556,9,0,,0,37:42,3,1,+4,12,2,4,11
1,4,8,8,1,.500,2,.615,13,3,.600,5,32:58,1,6,+10,20,0,2,9
0,0,4,2,1,.333,3,.400,5,0,,0,30:36,0,2,-8,5,0,3,4
0,0,1,3,1,.333,3,.429,7,3,1.000,3,29:44,1,2,+11,10,0,0,2
0,1,2,5,0,,0,.500,10,0,,0,14:46,0,3,-10,10,0,0,2
3,0,0,0,0,.000,2,.000,2,0,,0,8:48,1,1,-4,0,0,0,1
0,0,0,0,0,,0,.000,1,0,,0,6:12,0,1,+1,0,0,0,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
