ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
3,0,4,8,2,.400,5,.533,15,6,1.000,6,41:40,0,1,+6,24,1,4,4
0,1,4,7,1,.500,2,.778,9,1,.500,2,34:18,1,4,+4,16,0,1,5
11,0,7,5,1,1.000,1,.833,6,11,1.000,11,33:57,0,3,+4,22,2,3,7
1,2,3,4,0,.000,2,.364,11,0,,0,24:02,1,3,-1,8,3,1,4
2,0,1,1,0,.000,2,.250,4,0,,0,19:05,0,0,-11,2,1,1,1
3,0,2,1,0,.000,1,.167,6,0,.000,1,28:55,2,2,+17,2,2,3,4
0,0,1,3,2,.333,6,.375,8,1,.333,3,21:05,1,3,+22,9,1,0,2
1,0,1,9,0,,0,.750,12,2,1.000,2,16:34,2,3,-3,20,0,0,3
1,0,0,1,1,.500,2,.333,3,0,,0,14:03,1,1,+2,3,1,1,1
0,0,1,0,0,,0,.000,1,0,,0,6:21,0,1,-10,0,0,0,1
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
