ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
2,1,5,8,3,.429,7,.533,15,2,1.000,2,36:12,1,0,-15,21,2,4,6
7,1,2,3,1,.333,3,.333,9,4,1.000,4,33:11,1,1,-12,11,1,6,3
3,1,6,3,1,.333,3,.333,9,2,1.000,2,32:38,2,0,-6,9,5,0,8
2,1,5,6,0,.000,2,.500,12,3,1.000,3,32:30,0,3,-24,15,3,5,5
1,0,1,2,1,.500,2,.500,4,0,.000,2,22:08,1,1,-1,5,0,2,2
4,1,1,0,0,,0,.000,1,1,.500,2,23:41,1,2,-10,1,1,0,2
1,0,5,7,0,,0,.467,15,6,1.000,6,17:24,1,1,+1,20,2,0,6
0,1,1,2,2,.667,3,.400,5,0,.000,1,14:02,0,2,-9,6,0,0,1
2,0,1,1,1,.500,2,.333,3,0,.000,3,12:42,1,0,+5,3,1,2,2
1,0,1,1,0,,0,.250,4,0,,0,10:42,0,2,+1,2,0,1,1
0,0,0,1,0,.000,1,.333,3,0,,0,2:25,0,0,+5,2,2,0,0
1,0,1,0,0,,0,,0,0,,0,2:25,0,0,+5,0,0,0,1
