ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
9,0,1,2,1,.500,2,.400,5,8,.889,9,34:17,0,3,+5,13,0,5,1
3,0,6,3,1,.167,6,.214,14,1,1.000,1,33:27,1,2,+3,8,0,5,7
3,1,3,4,1,.333,3,.444,9,2,1.000,2,31:34,0,2,+3,11,1,0,3
1,0,4,6,0,.000,2,.545,11,0,,0,29:01,1,4,+1,12,3,1,5
0,0,4,6,4,.800,5,.857,7,0,,0,20:51,0,3,+6,16,0,0,4
0,0,6,5,2,1.000,2,1.000,5,2,1.000,2,21:07,1,1,+6,14,0,0,7
4,0,2,0,0,,0,.000,3,0,,0,20:37,0,2,+7,0,0,1,2
1,0,1,1,0,,0,.500,2,4,1.000,4,18:57,0,2,+7,6,0,1,1
3,0,5,4,0,,0,.571,7,2,1.000,2,16:26,2,2,+7,10,0,1,7
1,0,1,2,0,,0,.333,6,4,.667,6,13:43,0,2,+5,8,1,3,1
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
