ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
2,1,3,12,2,.333,6,.522,23,5,.714,7,35:36,1,2,-18,31,0,1,4
3,1,5,4,0,.000,1,.444,9,2,1.000,2,30:44,2,3,-19,10,0,3,7
9,0,4,4,1,.333,3,.333,12,4,1.000,4,30:36,0,3,-19,13,0,0,4
0,0,2,5,0,,0,.833,6,0,,0,22:46,3,1,-19,10,1,2,5
0,0,2,1,1,.200,5,.167,6,0,,0,20:47,0,3,-13,3,2,1,2
8,0,1,4,0,.000,3,.444,9,0,,0,27:56,0,4,+10,8,0,0,1
1,2,4,8,0,,0,.800,10,0,,0,24:31,3,3,+12,16,0,1,7
5,0,1,4,0,.000,2,.400,10,2,1.000,2,17:24,0,2,+14,10,0,2,1
1,0,7,3,0,,0,.500,6,0,,0,17:17,1,1,+14,6,0,1,8
0,1,3,0,0,.000,1,.000,1,0,,0,12:24,0,0,+13,0,0,0,3
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
