ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
6,0,3,5,0,.000,3,.313,16,6,.857,7,32:10,0,3,-24,16,1,1,3
1,1,4,8,0,.000,1,.421,19,2,1.000,2,31:55,3,5,-18,18,3,0,7
0,0,5,3,2,.667,3,.750,4,0,,0,26:38,0,1,-8,8,0,0,5
4,0,2,1,0,,0,.500,2,0,,0,26:21,3,2,-15,2,2,3,5
1,0,0,3,0,.000,1,.375,8,4,1.000,4,19:14,1,3,-10,10,0,4,1
5,0,3,3,0,.000,2,.250,12,2,1.000,2,27:20,0,2,-16,8,0,2,3
0,0,5,5,2,1.000,2,.625,8,1,.500,2,23:51,0,2,+5,13,0,0,5
3,0,1,3,0,,0,.375,8,6,.857,7,18:18,0,0,-1,12,2,1,1
1,1,4,2,0,,0,.400,5,0,,0,16:29,2,2,-3,4,0,2,6
0,2,3,1,0,,0,.333,3,2,1.000,2,16:05,4,4,0,4,0,2,7
0,0,0,0,0,,0,,0,0,,0,0:50,0,0,0,0,0,0,0
0,0,0,0,0,,0,,0,0,,0,0:50,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,
