ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
4,2,2,8,3,.500,6,.471,17,3,.750,4,36:08,0,3,-16,22,2,3,2
3,0,8,8,0,,0,.667,12,0,,0,33:16,6,1,-23,16,1,0,14
1,2,3,1,0,.000,2,.200,5,0,,0,32:24,0,1,-20,2,0,2,3
1,1,5,4,0,.000,1,.444,9,1,1.000,1,28:18,0,4,-20,9,0,1,5
5,0,1,2,0,.000,4,.333,6,0,,0,19:32,0,0,-23,4,0,1,1
1,0,1,6,4,.800,5,.400,15,2,1.000,2,28:28,1,4,+10,18,1,2,2
2,0,3,5,3,.429,7,.455,11,2,1.000,2,24:41,0,0,+5,15,0,2,3
0,1,1,1,0,,0,.250,4,1,.500,2,14:23,1,3,+8,3,0,1,2
2,0,3,0,0,,0,.000,2,2,1.000,2,14:22,3,2,+3,2,1,0,6
0,1,1,1,0,,0,.333,3,0,,0,2:54,1,0,+1,2,0,0,2
0,0,2,1,0,,0,1.000,1,2,1.000,2,2:47,0,0,+5,4,0,0,2
0,0,1,0,0,,0,,0,0,,0,2:47,0,0,+5,0,0,0,1
,,,,,,,,,,,,,,,,,,,
