ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
0,1,11,8,0,,0,.800,10,0,,0,37:09,1,5,+6,16,1,2,12
6,1,5,7,0,.000,1,.467,15,15,.938,16,36:47,2,4,+9,29,1,2,7
12,0,8,2,1,.167,6,.200,10,6,.750,8,32:59,1,4,+1,11,4,3,9
2,1,1,8,6,.750,8,.667,12,4,1.000,4,25:59,1,3,-3,26,0,3,2
1,1,1,3,0,.000,1,.750,4,1,.250,4,25:59,0,1,0,7,0,1,1
1,0,2,2,2,.500,4,.250,8,1,1.000,1,25:55,0,1,+10,7,0,1,2
4,1,1,5,1,.500,2,.714,7,1,1.000,1,22:40,0,2,+10,12,1,1,1
0,0,0,1,1,.333,3,.333,3,0,,0,13:01,0,1,-2,3,0,0,0
0,1,3,2,0,.000,2,.400,5,0,,0,10:51,0,1,0,4,0,1,3
1,0,0,2,2,1.000,2,1.000,2,0,,0,8:40,0,2,-1,6,0,0,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
