ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
5,0,1,9,1,1.000,1,.529,17,5,.625,8,36:12,2,0,-9,24,1,1,3
14,0,4,2,1,.250,4,.222,9,3,1.000,3,33:09,0,4,-13,8,1,5,4
1,3,7,5,0,,0,1.000,5,2,.667,3,33:06,2,3,-6,12,1,2,9
1,0,3,9,3,.500,6,.643,14,3,1.000,3,32:43,0,1,-6,24,0,3,3
0,0,1,1,0,.000,2,.333,3,1,1.000,1,21:06,1,2,-7,3,0,0,2
4,0,5,4,1,.200,5,.333,12,5,.833,6,26:54,0,1,-4,14,0,0,5
0,0,1,1,0,,0,.333,3,0,,0,16:44,0,1,-1,2,1,2,1
0,1,1,1,0,.000,2,.143,7,1,.500,2,14:22,1,3,-3,3,0,1,2
1,0,1,2,0,,0,1.000,2,0,,0,13:49,0,1,-2,4,0,0,1
0,1,3,1,1,1.000,1,1.000,1,0,,0,11:55,0,0,-4,3,0,0,3
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
