ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
1,1,17,9,0,.000,1,.692,13,3,.750,4,44:45,5,3,0,21,0,2,22
13,1,7,11,4,.571,7,.423,26,0,,0,44:30,3,2,0,26,2,4,10
2,0,2,7,3,.300,10,.389,18,1,1.000,1,38:05,0,4,-4,18,0,1,2
0,0,3,1,1,.200,5,.143,7,2,1.000,2,28:53,0,5,+5,5,1,1,3
0,0,3,0,0,.000,1,.000,3,2,.500,4,20:10,1,0,+1,2,3,0,4
1,0,3,4,1,.250,4,.267,15,2,1.000,2,35:10,0,2,-2,11,0,1,3
2,0,1,5,2,.500,4,.556,9,3,.600,5,26:06,1,1,-7,15,0,1,2
0,0,4,1,0,.000,2,.250,4,4,1.000,4,14:53,1,3,-5,6,1,2,5
1,0,2,3,1,.333,3,.500,6,0,,0,13:30,0,3,-5,7,2,1,2
1,1,1,2,1,.333,3,.500,4,0,,0,12:23,0,4,+1,5,1,0,1
0,0,2,3,0,,0,.750,4,0,,0,11:35,0,2,-9,6,0,1,2
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
