ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
13,0,7,6,1,.250,4,.545,11,4,1.000,4,34:00,1,2,+25,17,1,2,8
4,0,8,12,1,.500,2,.545,22,2,.667,3,33:46,1,4,+25,27,0,2,9
2,3,10,2,0,,0,1.000,2,2,1.000,2,33:33,3,1,+27,6,0,1,13
0,2,3,5,3,.750,4,.556,9,2,1.000,2,32:49,3,1,+31,15,2,0,6
3,0,2,5,2,.667,3,.500,10,0,,0,26:02,0,2,+2,12,1,2,2
1,1,1,9,2,.500,4,.600,15,1,1.000,1,28:53,0,1,+9,21,0,1,1
1,0,2,1,0,.000,4,.111,9,0,,0,19:42,0,1,-12,2,1,0,2
1,0,2,3,0,,0,.600,5,1,.500,2,14:27,3,2,-9,7,1,0,5
0,1,0,1,1,.500,2,.500,2,2,1.000,2,8:50,0,3,-4,5,0,1,0
1,0,0,1,0,,0,.500,2,0,,0,5:24,1,1,-3,2,0,0,1
1,0,0,0,0,.000,1,.000,1,0,,0,2:34,0,0,-1,0,0,0,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
