ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
4,0,6,9,0,,0,.600,15,2,1.000,2,38:21,2,3,-2,20,1,5,8
0,3,16,5,0,,0,.714,7,2,.667,3,35:06,3,3,-5,12,0,0,19
6,0,5,6,1,.250,4,.400,15,4,.667,6,34:26,0,3,0,17,0,1,5
1,0,1,2,2,.500,4,.333,6,1,.500,2,33:41,0,5,-7,7,0,1,1
1,0,1,5,2,.222,9,.313,16,5,.833,6,28:33,0,0,+4,17,0,0,1
3,0,3,4,1,.200,5,.308,13,0,,0,20:19,0,0,+7,9,0,2,3
2,0,2,1,0,,0,.333,3,4,1.000,4,16:36,1,1,+3,6,0,0,3
0,0,5,2,0,.000,2,.333,6,4,1.000,4,12:52,1,4,+7,8,0,1,6
0,0,0,1,1,1.000,1,1.000,1,1,.500,2,11:58,0,0,+6,4,0,0,0
0,0,4,1,0,,0,1.000,1,0,,0,8:09,0,1,+7,2,0,0,4
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
