ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
4,0,8,9,0,.000,1,.474,19,5,.833,6,36:58,0,2,-8,23,1,4,8
5,0,2,1,0,.000,4,.125,8,3,.750,4,33:43,1,3,-3,5,0,3,3
1,0,3,2,0,.000,3,.222,9,2,1.000,2,32:57,1,4,+3,6,0,2,4
3,0,12,2,0,,0,.333,6,2,.500,4,30:54,4,1,-20,6,0,1,16
0,0,0,1,1,1.000,1,.500,2,0,,0,5:17,0,0,-6,3,0,0,0
5,0,2,8,3,.333,9,.444,18,4,1.000,4,33:11,0,0,+3,23,3,1,2
4,0,4,6,3,.600,5,.600,10,1,.500,2,24:51,1,3,-1,16,0,1,5
0,0,4,2,2,.500,4,.400,5,5,.833,6,17:06,1,0,+15,11,0,0,5
0,0,1,1,0,,0,.333,3,0,,0,14:21,0,0,-8,2,0,0,1
0,0,2,3,1,.500,2,.750,4,0,,0,10:42,0,0,0,7,0,1,2
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
