ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
2,0,4,2,1,.500,2,.400,5,0,,0,37:43,1,3,+24,5,2,0,5
6,2,8,11,1,1.000,1,.611,18,3,.750,4,33:33,2,1,+23,26,0,0,10
3,0,3,6,3,.750,4,.500,12,0,,0,32:28,0,3,+24,15,0,3,3
1,3,11,5,0,,0,.714,7,0,.000,2,31:09,2,1,+27,10,1,0,13
1,0,2,3,2,.286,7,.300,10,1,1.000,1,25:05,0,2,+28,9,1,2,2
1,0,2,5,1,.333,3,.556,9,0,,0,22:28,0,1,-12,11,2,5,2
2,0,3,1,0,.000,2,.125,8,0,,0,21:20,1,4,-13,2,0,1,4
0,1,7,2,1,.250,4,.286,7,2,1.000,2,15:09,0,2,-9,7,0,2,7
0,0,0,1,0,.000,1,.500,2,0,,0,10:06,0,0,-8,2,0,0,0
0,1,2,0,0,.000,1,.000,1,1,.500,2,10:06,0,2,-4,1,1,0,2
0,0,1,0,0,,0,.000,2,0,,0,0:53,0,0,0,0,0,0,1
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
