ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
2,0,4,5,2,.500,4,.455,11,4,1.000,4,35:50,0,4,-19,16,0,6,4
10,0,2,3,1,.250,4,.333,9,0,.000,1,32:10,1,2,-16,7,1,3,3
1,1,8,9,0,,0,.818,11,2,.400,5,30:22,5,4,-12,20,0,0,13
1,1,1,6,2,.400,5,.429,14,0,,0,25:57,0,0,-11,14,2,1,1
0,0,0,1,0,,0,.500,2,0,,0,16:04,0,0,-13,2,0,0,0
3,1,2,3,2,.500,4,.300,10,2,.667,3,29:00,0,2,0,10,0,1,2
0,0,0,2,0,.000,3,.222,9,3,1.000,3,24:22,1,2,-6,7,3,3,1
1,0,0,1,0,,0,.333,3,0,,0,16:27,0,2,-2,2,2,1,0
0,0,7,5,2,.500,4,.500,10,0,,0,15:14,0,1,-6,12,0,1,7
0,0,1,0,0,,0,.000,4,1,.500,2,7:22,3,1,+2,1,1,0,4
0,0,1,0,0,,0,,0,0,,0,7:13,0,0,+3,0,0,0,1
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
