ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
2,1,3,12,3,.750,4,.632,19,3,.429,7,30:51,3,3,+21,30,1,1,6
13,0,5,5,2,.400,5,.455,11,1,1.000,1,28:29,0,2,+18,13,1,0,5
0,3,7,7,0,,0,.778,9,0,,0,27:48,3,1,+16,14,0,0,10
3,0,3,4,3,.500,6,.364,11,3,1.000,3,23:05,0,1,+8,14,0,1,3
2,0,3,2,0,.000,2,.500,4,0,,0,20:36,0,0,+15,4,2,1,3
0,0,1,5,1,.250,4,.500,10,3,.750,4,29:02,0,4,+2,14,1,1,1
2,0,1,6,1,.250,4,.600,10,4,.800,5,23:22,0,4,-7,17,0,3,1
2,0,4,0,0,.000,1,.000,5,2,1.000,2,19:31,1,2,-9,2,2,1,5
0,0,3,1,0,.000,2,.333,3,2,1.000,2,16:05,1,0,+2,4,1,1,4
1,0,2,1,0,.000,1,.500,2,0,,0,11:05,0,2,-1,2,0,0,2
0,0,1,0,0,,0,.000,1,0,,0,6:04,1,0,-11,0,0,0,2
0,0,1,0,0,.000,2,.000,2,0,,0,4:02,0,0,-9,0,0,0,1
,,,,,,,,,,,,,,,,,,,
