ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
1,1,7,7,0,.000,4,.368,19,4,1.000,4,36:27,1,3,+9,18,0,2,8
2,0,12,8,0,,0,.800,10,1,.250,4,36:18,5,2,+4,17,1,0,17
1,0,1,4,0,.000,1,.571,7,2,.500,4,35:24,1,1,+7,10,2,0,2
8,1,8,9,1,.333,3,.563,16,0,,0,30:30,0,2,+3,19,3,2,8
2,2,1,4,3,.600,5,.500,8,0,,0,25:39,0,0,+4,11,0,1,1
2,0,0,5,1,.500,2,.500,10,1,.500,2,23:29,0,2,+7,12,0,0,0
2,0,3,3,0,,0,.600,5,0,,0,17:30,0,1,+8,6,1,0,3
2,1,1,2,1,.250,4,.400,5,0,,0,14:24,1,2,+6,5,1,0,2
0,2,3,0,0,.000,2,.000,3,0,,0,12:36,0,0,+4,0,0,1,3
1,0,1,0,0,.000,1,.000,1,0,,0,7:43,0,2,+3,0,0,0,1
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
