ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
0,1,10,5,2,.400,5,.417,12,0,,0,34:03,2,2,-16,12,2,1,12
5,0,3,3,1,.200,5,.214,14,2,.400,5,31:53,2,3,-16,9,2,4,5
1,2,3,3,1,1.000,1,.429,7,0,,0,27:20,1,4,-8,7,0,2,4
0,1,0,3,1,.500,2,.429,7,6,1.000,6,23:33,0,5,-12,13,0,0,0
1,2,5,1,0,,0,.250,4,6,.857,7,23:03,1,5,-14,8,1,1,6
6,0,0,6,3,.750,4,.500,12,2,1.000,2,27:16,0,2,+8,17,1,1,0
0,1,2,2,0,.000,3,.222,9,0,,0,25:28,0,2,-2,4,0,3,2
0,0,3,2,1,.500,2,.500,4,0,.000,1,16:08,0,2,+7,5,0,0,3
3,0,3,2,0,,0,.333,6,0,,0,15:03,1,0,+12,4,0,2,4
0,0,3,4,0,,0,.667,6,0,,0,10:08,4,2,+5,8,0,0,7
0,0,0,1,0,.000,1,.500,2,0,,0,4:11,0,1,+2,2,0,0,0
0,0,0,0,0,,0,.000,1,0,,0,1:54,0,1,-1,0,0,0,0
,,,,,,,,,,,,,,,,,,,
