ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
0,0,4,3,2,.500,4,.500,6,0,,0,21:21,0,3,-2,8,0,0,4
1,0,5,5,0,.000,1,.500,10,0,,0,20:42,1,1,-2,10,0,1,6
0,0,10,3,0,.000,1,.500,6,3,1.000,3,20:11,0,6,+4,9,1,3,10
0,0,2,3,0,.000,1,.429,7,0,,0,18:51,3,2,-3,6,0,1,5
3,0,0,3,0,.000,4,.300,10,5,1.000,5,18:39,0,2,+3,11,0,2,0
0,0,0,7,0,.000,4,.438,16,1,1.000,1,30:41,1,2,-12,15,0,0,1
1,1,1,4,0,.000,1,.400,10,3,.750,4,29:30,4,3,-7,11,6,3,5
5,0,0,7,3,.375,8,.500,14,2,1.000,2,26:56,0,0,+3,19,0,4,0
1,1,6,1,0,,0,.500,2,4,1.000,4,18:37,2,3,-4,6,0,1,8
2,0,2,3,1,.500,2,.750,4,2,1.000,2,17:18,0,1,-10,9,1,3,2
1,0,3,1,0,.000,2,.250,4,0,,0,14:39,0,2,-3,2,0,1,3
0,0,0,0,0,,0,,0,2,.500,4,2:36,0,0,-2,2,0,0,0
,,,,,,,,,,,,,,,,,,,
