ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
3,1,3,1,0,.000,2,.111,9,6,.750,8,41:09,0,3,+14,8,2,1,3
2,0,11,4,0,,0,.308,13,5,.625,8,30:53,9,4,-5,13,2,5,20
0,0,7,3,1,.500,2,.333,9,3,.500,6,24:32,1,1,-12,10,2,3,8
1,0,1,1,0,,0,.250,4,0,,0,17:02,1,4,-4,2,0,4,2
1,0,0,3,0,,0,.750,4,1,1.000,1,16:31,0,0,-16,7,0,3,0
3,0,4,9,0,.000,1,.500,18,0,,0,34:05,0,2,+13,18,1,3,4
5,1,5,4,1,.333,3,.333,12,9,.818,11,28:29,0,0,+20,18,1,2,5
1,0,8,5,0,,0,.625,8,2,.667,3,26:17,3,4,+18,12,3,1,11
0,1,0,2,0,,0,1.000,2,2,.500,4,11:48,1,5,-5,6,0,1,1
1,0,3,1,0,,0,.500,2,0,,0,9:14,3,1,+7,2,1,0,6
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
