ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
0,0,4,1,0,.000,1,.143,7,0,,0,28:17,4,4,-18,2,1,2,8
1,0,2,3,2,.286,7,.300,10,0,,0,26:08,0,1,-12,8,1,2,2
4,0,3,7,2,.667,3,.636,11,0,.000,1,26:03,1,0,-15,16,2,1,4
0,0,1,4,0,,0,.571,7,0,,0,22:55,5,4,-13,8,1,1,6
4,0,1,6,3,.750,4,.600,10,2,1.000,2,19:43,1,0,+5,17,0,3,2
2,0,4,2,0,.000,1,.286,7,1,.500,2,26:06,1,2,-23,5,0,0,5
2,1,1,3,2,.400,5,.250,12,6,.750,8,25:31,0,0,-9,14,1,2,1
4,0,1,4,1,.500,2,.364,11,6,1.000,6,21:43,1,2,-13,15,1,1,2
1,2,3,2,0,,0,.400,5,0,,0,19:11,3,0,-6,4,3,2,6
0,0,2,1,0,,0,.333,3,1,.500,2,17:23,1,3,-1,3,2,3,3
0,0,0,0,0,,0,,0,0,,0,2:20,0,0,-5,0,0,1,0
0,0,0,0,0,,0,,0,0,,0,2:20,0,0,-5,0,0,0,0
0,0,0,0,0,,0,.000,1,0,,0,2:20,0,0,-5,0,0,1,0
