ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
5,0,6,8,0,,0,.615,13,6,.857,7,33:56,0,3,-30,22,1,0,6
3,0,1,4,1,.333,3,.308,13,0,,0,26:44,0,3,-36,9,1,1,1
2,0,1,1,1,.333,3,.200,5,0,,0,19:27,0,1,-27,3,1,1,1
1,0,0,3,2,.500,4,.500,6,0,,0,14:05,0,2,-26,8,0,0,0
0,1,1,0,0,,0,.000,4,0,,0,10:06,3,3,-11,0,0,2,4
1,1,2,3,1,.333,3,.429,7,2,.500,4,31:50,0,2,-11,9,0,1,2
3,0,1,6,0,.000,2,.545,11,2,.500,4,23:37,0,3,-11,14,0,0,1
0,0,1,2,0,,0,.667,3,1,.500,2,18:27,2,3,-6,5,1,1,3
2,0,1,2,1,.250,4,.286,7,5,.833,6,17:47,1,2,+1,10,0,2,2
3,0,1,0,0,.000,1,.000,6,2,1.000,2,14:36,0,0,-12,2,0,0,1
1,1,2,4,0,,0,.571,7,0,,0,14:30,2,1,-12,8,2,1,4
2,0,2,2,0,,0,1.000,2,0,,0,9:47,1,2,-15,4,0,0,3
0,0,1,0,0,,0,.000,1,0,,0,5:08,0,0,-4,0,0,0,1
