ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
0,0,4,5,3,.500,6,.500,10,2,1.000,2,30:23,0,3,-2,15,0,1,4
0,1,5,2,0,.000,4,.286,7,0,,0,26:29,0,0,-5,4,1,0,5
1,0,4,4,0,,0,.444,9,0,.000,1,20:10,1,2,-10,8,0,2,5
2,0,2,0,0,.000,1,.000,3,0,,0,15:12,0,2,-8,0,0,1,2
1,1,2,0,0,,0,.000,3,0,,0,13:30,2,2,-13,0,0,1,4
2,0,2,8,2,.500,4,.533,15,4,1.000,4,34:35,1,0,-1,22,1,1,3
5,0,3,10,6,.500,12,.500,20,5,1.000,5,28:05,0,1,+1,31,3,1,3
2,3,6,5,0,,0,.333,15,2,1.000,2,27:40,4,2,+13,12,0,4,10
2,1,3,0,0,.000,3,.000,5,0,,0,19:23,1,1,-4,0,0,2,4
1,3,2,1,0,,0,.250,4,0,,0,16:25,3,0,-1,2,0,0,5
0,0,4,2,0,,0,.667,3,0,,0,8:08,2,4,-5,4,0,0,6
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
