ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
3,0,7,4,0,,0,.444,9,5,1.000,5,28:51,3,4,-30,13,1,0,10
0,1,2,1,0,.000,1,.143,7,1,.500,2,28:39,0,0,-34,3,1,2,2
4,1,4,7,2,.333,6,.350,20,5,1.000,5,28:11,0,1,-32,21,1,2,4
0,0,3,2,1,.167,6,.200,10,0,,0,23:51,1,1,-37,5,1,0,4
0,0,2,0,0,,0,.000,2,2,1.000,2,8:57,0,5,-16,2,0,2,2
0,0,3,6,2,.400,5,.500,12,1,.333,3,29:40,0,3,-9,15,1,3,3
3,0,1,7,3,.750,4,.538,13,4,.800,5,24:09,1,3,+1,21,3,2,2
0,1,2,3,1,.333,3,.500,6,2,1.000,2,23:05,0,3,-1,9,0,0,2
5,0,3,1,0,,0,.250,4,0,,0,22:05,0,2,-2,2,1,0,3
0,0,2,3,0,,0,.500,6,2,.500,4,13:49,2,4,-17,8,0,1,4
1,0,0,1,0,.000,1,.250,4,0,,0,8:43,0,1,-3,2,0,0,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
