ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
3,0,5,3,1,.200,5,.300,10,1,.250,4,42:08,0,2,+11,8,1,1,5
9,0,1,8,5,.625,8,.471,17,2,1.000,2,36:04,0,3,+6,23,2,3,1
6,2,15,10,0,.000,1,.714,14,3,1.000,3,33:56,4,2,+3,23,3,1,19
0,0,0,5,5,.500,10,.455,11,0,,0,30:17,0,3,-4,15,0,0,0
0,2,2,5,0,,0,.714,7,1,1.000,1,14:09,2,3,+4,11,0,3,4
3,0,3,7,1,.250,4,.500,14,1,1.000,1,33:31,0,5,-7,16,1,3,3
0,0,3,0,0,,0,,0,2,1.000,2,20:48,0,4,-9,2,1,2,3
1,1,1,1,0,.000,2,.333,3,0,,0,11:15,0,0,-9,2,1,1,1
0,0,2,2,0,.000,1,.333,6,0,,0,8:04,0,1,-8,4,0,0,2
0,0,1,0,0,,0,.000,1,0,,0,5:19,0,0,+2,0,0,0,1
0,0,0,0,0,.000,1,.000,1,0,,0,4:29,0,0,-14,0,0,0,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
