ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
1,1,1,4,0,.000,1,.571,7,6,.857,7,29:46,1,2,-19,14,1,3,2
1,1,2,2,1,.333,3,.250,8,1,.500,2,26:57,0,2,-30,6,1,2,2
0,0,3,3,0,.000,2,.429,7,1,.333,3,26:14,0,3,-22,7,0,2,3
1,0,2,2,0,.000,4,.250,8,4,1.000,4,23:10,1,1,-31,8,3,5,3
0,0,4,2,1,.500,2,.400,5,0,,0,20:55,0,3,-20,5,2,2,4
5,0,1,2,1,.500,2,.286,7,7,.875,8,31:43,1,4,-19,12,6,3,2
0,2,5,7,0,,0,.875,8,3,.600,5,26:09,1,2,-9,17,0,1,6
0,0,0,2,0,,0,.286,7,0,,0,18:39,4,2,-12,4,2,1,4
1,0,4,2,1,.200,5,.286,7,0,,0,14:23,0,1,+2,5,2,0,4
1,0,0,0,0,.000,4,.000,5,0,,0,12:00,0,0,+2,0,0,0,0
0,0,2,1,0,.000,1,.167,6,0,,0,10:04,0,2,-22,2,0,1,2
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
