ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
1,1,4,4,0,.000,3,.364,11,3,.750,4,35:45,3,1,+11,11,2,0,7
3,2,7,2,0,.000,1,.167,12,2,1.000,2,35:28,0,4,+12,6,1,2,7
3,2,2,3,1,.333,3,.333,9,6,1.000,6,33:32,2,1,+12,13,1,1,4
0,1,5,6,0,.000,1,.667,9,7,.875,8,28:23,3,4,+14,19,1,3,8
0,1,1,2,0,,0,.250,8,0,,0,19:54,0,0,+1,4,1,1,1
1,0,3,0,0,.000,5,.000,7,4,.800,5,25:46,2,2,+18,4,0,0,5
7,0,3,3,0,.000,3,.500,6,7,1.000,7,24:29,1,3,+19,13,1,1,4
0,0,6,7,1,.500,2,.636,11,3,.750,4,20:55,1,2,+9,18,0,0,7
0,0,2,1,0,,0,.500,2,1,.500,2,9:24,1,1,+9,3,0,0,3
0,0,0,1,0,,0,1.000,1,0,,0,2:20,0,1,+3,2,0,0,0
0,0,0,0,0,,0,,0,0,,0,2:14,0,0,+2,0,1,0,0
0,0,0,0,0,,0,,0,0,,0,1:50,0,0,0,0,0,1,0
,,,,,,,,,,,,,,,,,,,
