ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
1,0,4,6,1,.250,4,.375,16,0,,0,36:06,2,5,-10,13,0,3,6
2,1,4,9,0,.000,1,.600,15,0,,0,31:15,1,1,-23,18,2,1,5
4,3,3,4,1,.200,5,.364,11,4,.800,5,30:51,0,2,-15,13,1,2,3
2,0,3,1,0,.000,1,.100,10,0,,0,29:17,5,2,-9,2,2,2,8
1,0,1,4,0,,0,.444,9,0,.000,1,24:41,0,3,-11,8,3,1,1
1,0,2,1,1,.200,5,.167,6,2,1.000,2,20:22,0,1,-3,5,0,2,2
1,0,8,3,0,,0,.750,4,2,1.000,2,19:28,2,5,-13,8,0,2,10
4,0,2,1,1,.250,4,.250,4,0,,0,18:10,0,0,-2,3,0,0,2
3,1,2,2,0,.000,2,.286,7,0,,0,14:48,0,3,-3,4,2,2,2
0,0,3,3,0,,0,1.000,3,0,.000,1,11:03,1,1,+3,6,0,0,4
0,1,0,1,0,,0,1.000,1,4,1.000,4,3:59,0,0,+1,6,0,0,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
