ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
7,0,6,8,0,.000,2,.533,15,6,1.000,6,35:03,0,1,-14,22,1,1,6
4,0,1,7,3,.429,7,.438,16,4,1.000,4,32:09,0,1,-11,21,0,2,1
2,0,3,3,1,1.000,1,.750,4,1,.500,2,24:06,1,0,-5,8,1,3,4
0,0,6,1,0,.000,2,.250,4,1,1.000,1,21:30,0,1,-9,3,1,0,6
1,0,2,1,0,.000,2,.167,6,0,,0,14:59,0,1,-9,2,0,0,2
1,0,6,3,1,.500,2,.250,12,4,1.000,4,27:42,3,1,+2,11,1,0,9
0,1,1,3,2,.500,4,.429,7,4,1.000,4,20:59,1,1,-13,12,1,0,2
1,0,2,3,3,.429,7,.429,7,0,,0,18:46,0,0,+6,9,1,0,2
1,0,1,1,0,.000,2,.333,3,8,.800,10,17:29,0,4,-6,10,0,2,1
0,0,3,0,0,.000,1,.000,2,0,,0,14:27,0,4,-15,0,0,1,3
1,0,1,0,0,,0,,0,4,1.000,4,7:37,0,0,+3,4,0,1,1
0,0,2,0,0,.000,1,.000,1,0,,0,5:13,0,2,+1,0,0,0,2
