ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
7,1,1,9,0,.000,3,.563,16,10,.909,11,39:18,1,1,-6,28,0,1,2
1,0,11,6,2,1.000,2,.857,7,1,.500,2,34:24,2,4,+2,15,1,0,13
6,0,2,5,2,.400,5,.385,13,8,.889,9,30:35,1,2,+6,20,0,5,3
1,0,2,2,0,,0,.286,7,2,.500,4,29:48,5,6,-2,6,2,2,7
1,0,1,1,1,.333,3,.167,6,3,.750,4,18:51,1,2,+1,6,0,1,2
1,0,2,4,3,.500,6,.444,9,1,.500,2,29:49,0,0,-4,12,3,1,2
1,0,2,3,0,.000,4,.300,10,2,1.000,2,28:05,4,3,+1,8,2,1,6
0,0,6,3,0,.000,1,.214,14,0,,0,20:25,3,1,-4,6,0,0,9
2,0,1,0,0,.000,1,.000,1,0,,0,8:45,0,1,-9,0,0,1,1
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
