ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
5,4,7,12,2,.400,5,.571,21,6,1.000,6,39:45,1,5,-2,32,0,2,8
10,0,2,5,3,.375,8,.313,16,4,.800,5,35:31,1,0,+12,17,1,4,3
1,0,7,1,0,.000,2,.200,5,0,.000,2,35:08,0,4,-5,2,3,3,7
1,0,3,2,0,.000,1,.667,3,6,.857,7,22:19,2,2,-11,10,0,1,5
2,0,2,2,2,.500,4,.333,6,2,1.000,2,21:11,0,1,-7,8,0,0,2
3,0,9,8,0,.000,1,.727,11,1,.500,2,30:35,4,1,+3,17,1,1,13
1,0,0,4,1,1.000,1,.500,8,4,1.000,4,24:39,2,2,+3,13,1,0,2
1,0,0,3,1,.500,2,.750,4,2,.667,3,15:50,0,3,-11,9,0,0,0
0,1,2,0,0,.000,2,.000,3,1,.500,2,15:02,0,1,+3,1,0,0,2
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
