ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
4,0,5,6,0,.000,3,.333,18,1,.250,4,36:12,1,4,-10,13,0,4,6
4,0,2,9,3,.500,6,.600,15,9,.900,10,35:50,0,4,-4,30,1,1,2
1,0,7,2,1,1.000,1,.500,4,0,,0,25:57,0,3,+3,5,0,0,7
0,0,4,3,1,.250,4,.273,11,0,,0,23:55,0,3,-8,7,0,1,4
0,0,2,3,1,.500,2,.500,6,0,,0,22:07,0,0,-8,7,1,1,2
2,0,5,11,0,.000,1,.786,14,2,.500,4,29:03,5,2,-3,24,1,0,10
2,0,2,3,3,.500,6,.429,7,1,.500,2,27:07,0,3,+5,10,0,0,2
3,0,2,1,0,.000,1,.500,2,2,1.000,2,20:19,0,4,-2,4,0,1,2
0,0,1,0,0,.000,4,.000,5,0,,0,14:52,0,0,+4,0,1,1,1
0,0,2,0,0,,0,,0,0,,0,4:39,1,0,+3,0,0,1,3
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
