ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
10,0,9,7,2,.400,5,.438,16,2,1.000,2,35:55,1,4,+21,18,0,2,10
12,0,2,8,1,.200,5,.400,20,5,.833,6,33:28,2,1,+14,22,1,1,4
1,2,0,1,0,.000,1,.500,2,1,.500,2,29:00,0,3,+19,3,1,2,0
1,0,2,4,1,.500,2,.500,8,1,.500,2,28:00,4,4,+18,10,2,1,6
0,2,9,6,2,.500,4,.545,11,0,,0,26:18,3,4,+13,14,2,2,12
1,1,1,2,1,.333,3,.333,6,2,1.000,2,19:53,0,3,-8,7,0,0,1
0,0,3,2,2,.400,5,.286,7,0,,0,19:07,1,3,-5,6,0,1,4
1,0,3,4,0,.000,1,.308,13,0,,0,17:53,2,1,-6,8,0,1,5
2,0,3,2,1,.500,2,.500,4,0,,0,14:33,0,0,-2,5,1,0,3
1,0,0,3,0,,0,.750,4,4,1.000,4,14:04,3,2,-1,10,0,0,3
0,0,0,0,0,,0,.000,1,0,,0,1:50,0,0,-3,0,0,1,0
,,,,,,,,,,,,,,,,,,,
