ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
4,0,8,5,0,.000,3,.385,13,0,.000,1,37:08,0,3,-11,10,2,3,8
4,1,2,2,0,.000,6,.222,9,0,,0,34:04,0,2,-27,4,2,0,2
3,0,6,6,2,.333,6,.429,14,2,1.000,2,31:12,0,2,0,16,0,2,6
2,0,2,4,1,.500,2,.667,6,3,1.000,3,18:29,0,5,-8,12,0,0,2
0,0,2,2,0,.000,4,.333,6,0,,0,16:16,0,0,-12,4,1,0,2
2,0,2,4,4,.500,8,.500,8,0,,0,24:16,0,1,+8,12,0,2,2
0,1,3,3,1,1.000,1,.600,5,3,.600,5,23:50,1,3,-10,10,0,5,4
0,1,2,3,0,,0,1.000,3,1,.500,2,20:08,0,3,+2,7,1,0,2
1,0,6,2,0,.000,2,.182,11,0,,0,19:10,3,0,-7,4,0,3,9
1,0,4,1,1,.333,3,.250,4,0,,0,15:27,0,1,0,3,1,0,4
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
