ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
6,0,2,8,2,.400,5,.471,17,1,1.000,1,32:55,0,3,+2,19,2,5,2
7,0,4,5,1,.333,3,.455,11,0,,0,30:01,2,2,-4,11,1,2,6
2,0,2,3,2,.667,3,.750,4,0,,0,26:39,0,1,-2,8,0,2,2
2,0,4,1,0,.000,1,.250,4,2,1.000,2,26:23,1,3,-7,4,2,1,5
0,0,2,1,0,,0,.333,3,0,,0,14:02,0,2,-18,2,0,0,2
2,0,12,7,0,.000,3,.333,21,4,.667,6,35:14,4,1,+8,18,2,0,16
2,0,4,4,2,.333,6,.444,9,0,.000,1,29:37,2,2,-3,10,0,1,6
0,1,3,3,0,,0,.500,6,0,,0,26:46,1,2,-3,6,0,0,4
1,1,0,3,1,.250,4,.375,8,3,.500,6,23:49,0,0,+2,10,2,2,0
4,0,5,0,0,,0,.000,6,1,.500,2,19:34,2,4,-5,1,0,2,7
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
