ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
0,0,2,2,0,.000,2,.154,13,2,1.000,2,32:07,1,2,-16,6,2,0,3
0,2,11,2,0,,0,.250,8,1,.500,2,30:34,1,2,-24,5,0,2,12
4,0,1,1,0,.000,1,.111,9,0,,0,26:53,0,0,-17,2,1,1,1
4,0,1,5,0,.000,1,.417,12,1,1.000,1,24:44,0,2,-23,11,0,2,1
0,0,2,4,1,.250,4,.500,8,2,1.000,2,23:22,2,0,-26,11,1,1,4
1,1,3,4,0,.000,1,.444,9,2,1.000,2,27:24,1,1,-2,10,3,1,4
0,0,2,3,1,.250,4,.375,8,0,,0,25:16,2,3,+10,7,0,1,4
1,2,4,5,1,.333,3,.417,12,7,1.000,7,24:38,2,4,+14,18,1,3,6
1,2,1,4,0,,0,1.000,4,3,.750,4,17:26,3,2,+12,11,0,1,4
1,0,1,1,1,1.000,1,1.000,1,1,.500,2,4:25,0,0,+7,4,0,0,1
0,0,1,0,0,,0,,0,0,,0,3:11,0,0,+5,0,0,0,1
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
