ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
0,1,7,3,0,,0,.375,8,0,,0,24:59,1,2,-31,6,1,2,8
4,0,1,1,1,.250,4,.143,7,3,.600,5,22:15,1,2,-31,6,0,3,2
3,0,2,3,1,.333,3,.300,10,4,1.000,4,21:25,0,3,-21,11,0,2,2
1,0,4,2,0,.000,1,.400,5,0,,0,20:06,0,4,-22,4,0,1,4
0,0,1,2,0,.000,2,.400,5,1,.500,2,12:26,1,1,-12,5,0,0,2
2,2,4,3,2,.500,4,.500,6,7,.875,8,34:57,0,4,-11,15,2,2,4
7,1,2,5,0,.000,3,.385,13,7,.778,9,31:31,0,0,-4,17,1,1,2
0,0,1,5,2,.500,4,.625,8,0,,0,31:15,3,2,-3,12,0,1,4
0,0,1,2,1,.500,2,.400,5,0,,0,18:05,1,4,+12,5,0,2,2
2,0,7,1,0,.000,2,.200,5,0,,0,15:39,0,0,+5,2,1,0,7
0,0,0,0,0,.000,1,.000,3,1,.500,2,7:22,0,0,+3,1,0,0,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
