ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
2,0,3,7,4,.444,9,.467,15,1,1.000,1,40:39,0,0,-14,19,0,0,3
0,1,9,4,0,,0,.333,12,0,,0,35:42,3,5,-20,8,0,4,12
4,1,2,8,1,.250,4,.471,17,4,1.000,4,34:36,0,4,-22,21,1,3,2
5,1,2,3,2,.400,5,.375,8,3,.600,5,30:54,3,1,+5,11,2,1,5
4,0,1,1,0,.000,1,.200,5,0,,0,30:24,1,2,-19,2,1,5,2
5,1,2,8,4,.800,5,.500,16,7,.875,8,35:13,0,1,+4,27,1,0,2
0,2,5,1,0,.000,3,.200,5,1,.500,2,20:14,0,2,+14,3,0,3,5
0,0,1,2,0,,0,1.000,2,0,,0,12:18,1,1,+12,4,1,0,2
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
