ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
2,3,5,10,0,,0,.667,15,2,.400,5,31:40,7,3,-25,22,0,0,12
2,0,1,2,1,.250,4,.333,6,1,.500,2,30:18,0,3,-18,6,0,2,1
3,0,3,7,2,.667,3,.538,13,0,,0,22:28,0,2,-4,16,0,0,3
0,0,2,1,1,.500,2,.250,4,0,,0,18:58,0,0,-22,3,0,2,2
0,0,0,0,0,.000,2,.000,3,0,,0,7:57,0,1,-16,0,0,0,0
2,1,4,4,0,.000,4,.308,13,3,.750,4,35:24,1,4,-13,11,1,1,5
1,2,4,7,4,.571,7,.636,11,2,.500,4,33:36,1,3,-21,20,2,3,5
2,0,1,4,0,.000,3,.333,12,1,1.000,1,20:33,0,3,-15,9,2,0,1
1,0,2,0,0,.000,4,.000,6,2,.667,3,16:19,0,0,-9,2,0,1,2
2,1,5,1,0,.000,3,.143,7,4,.667,6,15:21,1,3,+7,6,0,0,6
2,0,3,2,0,,0,1.000,2,1,.500,2,7:26,1,1,+1,5,0,1,4
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
