ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
4,0,2,7,2,.400,5,.438,16,1,1.000,1,37:53,0,2,-14,17,1,3,2
8,0,3,4,0,.000,5,.235,17,0,,0,37:41,0,4,+2,8,2,1,3
2,2,17,12,0,,0,.706,17,2,.667,3,37:00,3,3,+5,26,1,4,20
2,1,5,1,0,.000,1,.200,5,1,.500,2,31:46,2,3,-4,3,0,0,7
0,0,1,1,0,.000,3,.167,6,0,,0,18:10,0,0,+5,2,0,0,1
3,0,6,6,3,.375,8,.545,11,3,.750,4,29:59,1,3,-8,18,0,0,7
6,0,2,6,1,.143,7,.429,14,1,.500,2,29:33,0,4,-20,14,2,2,2
0,1,4,1,0,,0,.333,3,2,1.000,2,11:00,0,2,-17,4,0,1,4
0,0,0,0,0,.000,1,.000,1,3,1.000,3,6:58,0,1,-9,3,0,0,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
