ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
2,0,5,12,2,.500,4,.571,21,4,1.000,4,36:32,0,3,-4,30,2,7,5
2,0,2,4,3,.300,10,.286,14,5,1.000,5,35:45,3,1,-6,16,1,4,5
0,1,17,5,0,,0,.455,11,2,1.000,2,33:31,2,3,-12,12,0,1,19
1,0,2,2,0,.000,1,.333,6,0,,0,26:25,2,4,-14,4,0,2,4
1,0,3,0,0,,0,,0,0,,0,7:02,0,4,-11,0,0,0,3
3,2,3,8,1,.250,4,.533,15,9,.692,13,36:08,1,4,+10,26,0,4,4
5,0,3,6,1,.250,4,.462,13,4,1.000,4,31:50,0,5,-8,17,1,1,3
0,0,0,1,0,.000,1,.500,2,0,,0,18:18,0,2,+1,2,0,0,0
1,1,3,1,0,,0,.333,3,0,,0,14:29,3,1,+4,2,0,0,6
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
