ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
7,0,9,8,4,.444,9,.471,17,3,.750,4,36:30,1,3,+11,23,0,1,10
5,0,1,8,0,.000,5,.571,14,5,.714,7,32:59,0,3,-5,21,0,1,1
1,5,11,9,0,,0,.692,13,5,.625,8,31:24,3,4,+9,23,0,1,14
2,0,0,4,3,.500,6,.500,8,0,,0,27:06,1,2,+13,11,2,0,1
1,1,0,3,3,.750,4,.750,4,0,,0,17:29,0,1,+9,9,0,1,0
4,0,3,6,2,.333,6,.545,11,2,.667,3,32:41,4,2,+4,16,0,2,7
5,0,6,3,0,.000,2,.300,10,0,,0,30:31,0,4,-1,6,1,4,6
1,1,4,1,0,,0,.500,2,1,.500,2,16:10,2,1,-3,3,0,1,6
1,0,0,2,1,.333,3,.400,5,0,,0,15:09,1,0,+3,5,0,0,1
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
