ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
0,1,9,9,0,,0,.643,14,2,1.000,2,28:10,4,0,+19,20,0,1,13
5,0,2,9,4,.800,5,.750,12,1,.500,2,24:21,1,1,+18,23,0,2,3
2,0,1,3,2,.400,5,.300,10,0,,0,23:39,0,2,+10,8,1,1,1
2,0,1,2,1,.333,3,.500,4,2,.667,3,20:27,1,1,+10,7,0,0,2
1,0,0,3,3,.750,4,.750,4,0,,0,13:34,0,4,+5,9,0,0,0
2,0,4,6,3,.500,6,.545,11,2,1.000,2,26:19,2,4,+24,17,3,0,6
3,1,6,4,0,.000,2,.444,9,0,,0,25:03,1,1,+12,8,0,0,7
0,0,4,2,0,,0,.400,5,2,1.000,2,24:38,3,3,+7,6,0,3,7
0,0,3,4,4,.571,7,.444,9,0,,0,24:11,1,2,+10,12,1,1,4
4,1,3,3,1,.500,2,.600,5,1,1.000,1,17:38,1,1,+23,8,1,2,4
1,1,0,1,0,,0,.200,5,0,,0,12:00,1,0,+2,2,0,0,1
,,,,,,,,,,,,,,,,,,,
