ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
0,1,3,2,0,.000,3,.286,7,5,.833,6,36:50,5,3,-7,9,3,1,8
6,0,8,8,3,.429,7,.444,18,1,.333,3,36:01,0,2,-3,20,0,1,8
0,1,11,11,0,,0,.524,21,4,.800,5,33:47,10,2,+2,26,0,2,21
3,1,1,2,0,.000,1,.400,5,0,,0,18:55,2,3,-4,4,0,0,3
0,0,0,0,0,.000,1,.000,2,0,,0,10:46,0,2,0,0,0,0,0
0,0,4,6,1,.200,5,.375,16,1,1.000,1,31:55,0,4,+1,14,0,2,4
2,0,1,7,5,.455,11,.538,13,0,,0,27:25,0,0,+10,19,0,0,1
5,0,2,1,0,.000,4,.111,9,0,,0,24:49,0,2,-8,2,0,2,2
2,1,4,2,0,,0,.667,3,0,.000,1,14:13,2,2,-6,4,1,0,6
0,0,1,0,0,,0,,0,0,,0,5:19,0,2,-5,0,0,0,1
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
